Product Name,Final Price,MRP,Discount,Ram,Display,Camera,Battery,Warranty,Review
"POCO C3 (Arctic Blue, 32 GB)","₹9,999","₹10,990",18% off,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,50MP + 0.3MP | 5MP Front Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.3
"Tecno Spark 10C 6.56 HD+Dot Display 16GB Expandable RAM (Meta Black, 128 GB)","₹9,988","₹12,999",23% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4
"Nokia C32 (MINT, 64 GB)","₹8,999","₹10,999",10% off,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 0.3MP | 5MP Front Camera,5000 mAh Li-ion Polymer Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.8
"realme C33 2023 (Night Sea, 64 GB)","₹9,999","₹11,999",16% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP Rear Camera,5000 mAh Battery,1 Year Handset Warranty and 6 Months Warranty on Accessories,4.4
"REDMI 9 Activ (Carbon Black, 64 GB)","₹9,790","₹10,999",9% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.2
"realme C31 (Light Silver, 64 GB)","₹9,999","₹10,499",14% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD Display,50MP Rear Camera | 2MP Front Camera,5000 mAh Lithium Ion Battery,Brand Warranty of 1 Year Available for Mobile,4.4
"Nokia C32 (Mint, 64 GB)","₹8,999","₹9,999",10% off,4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,3.8
"REDMI 9i (Midnight Black, 128 GB)","₹9,999","₹12,999",30% off,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.3
"Nokia C32 Dual Sim 50MP Camera ,2MP Front Camera (Beach Pink, 64 GB)","₹8,999","₹13,999",39% off,4 GB RAM | 64 GB ROM,16.55 cm (6.517 inch) Display,50MP + 2MP | 8MP + 2MP Dual Front Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.7
"REDMI 9i (Sea Blue, 64 GB)","₹8,999","₹11,499",26% off,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,5000 mAh Lithium Polymer Battery,1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,4.3
